Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface
l3leaf,LF2,Ethernet1,spine,SP2,Ethernet1
l3leaf,LF3,Ethernet1,spine,SP3,Ethernet1
l3leaf,P2-GW,Ethernet1,other,P2-A,Ethernet5
l3leaf,P2-GW,Ethernet2,spine,SP2,Ethernet2
l3leaf,P3-GW,Ethernet1,other,P3-B,Ethernet5
l3leaf,P3-GW,Ethernet2,spine,SP3,Ethernet2
spine,SP2,Ethernet1,l3leaf,LF2,Ethernet1
spine,SP2,Ethernet2,l3leaf,P2-GW,Ethernet2
spine,SP3,Ethernet1,l3leaf,LF3,Ethernet1
spine,SP3,Ethernet2,l3leaf,P3-GW,Ethernet2
